51.1304902 17.0780325 Toruńska 73, 51-414 Wrocław
49.842418 18.998689 al. gen. Władysława Andersa 586 _, 43-300 Bielsko-Biała
50.26474751 18.69205736 Bojkowska 73, 44-141 Gliwice
50.088365 18.996111 Sikorskiego 100, 43-100 Tychy
50.103085 18.979011 Sikorskiego 20, 43-100 Tychy
50.2696412 18.9992405 Chorzowska 146/152, 40-101 Katowice
50.270873 19.007264 Chorzowska 107, 40-959 Katowice
50.450753 18.87949 SKODA LELLEK Leśna 2 _, 42-600 Tarnowskie Góry
49.706742 19.014116 Skośna 4, 43-370 Szczyrk
50.806917 19.113917 Śląska -, 42-217 Częstochowa
50.31123 18.768177 Grunwaldzka 15, 41-819 Zabrze
50.2633855 19.0165154 Sokolska 24, 40-086 Katowice
50.786278 19.140444 Sosnowa -, 42-216 Częstochowa
50.274859 19.127638 Henryka Sienkiewicza 2, 41-200 Sosnowiec
50.2987891 19.1557191 Jana Matejki 33, 41-219 Sosnowiec
50.27330091 19.12977679 Kościelna 0, 41-200 Sosnowiec
50.2787705 19.1296296 Małachowskiego 1, 41-200 Sosnowiec
50.28844165 19.1320606 Orla/Zgoda 1, 41-200 Sosnowiec
50.2927353 19.1609783 Ujejskiego 2-4, 41-219 Sosnowiec
49.83205384 19.05749005 Legionów 54, 43-300 Bielsko Biała
50.355561 18.872546 Młodzieżowa 6, 41-906 Bytom
50.785 19.131058 Żródlana 15, 42-200 Częstochowa
50.34150632 19.23967716 aleja Józefa Piłsudskiego 58 D, 41-300 Dąbrowa Górnicza
50.25417799 18.72116701 Rolników 449A, 44-141 Gliwice
50.260616 18.997967 Pukowca 1, 40-847 Katowice
50.32363 18.871731 Emilii Plater 22, 41-712 Ruda Śląska
50.09063518 18.56755791 Brzezińska 38 F, 44-203 Rybnik
50.100602 19.017367 Towarowa 1, 43-100 Tychy
50.0322 18.6078 Wodzisławska 0, 44-245 Zory
49.943607 18.430245 Powstańców Śląskich 243, 44-340 Łaziska
50.28949 18.975327 Promenada Gen. Ziętka 2, 41-500 Chorzów
50.2932057 19.1237337 Staropogońska 49, 41-214 Sosnowiec
50.846028 19.133889 Stefana Starzyńskiego -, 42-224 Częstochowa
50.807472 19.095556 Świętej Barbary -, 42-226 Częstochowa
50.827667 19.10475 Szajnowicza-Iwanowa -, 42-218 Częstochowa
49.560194 19.347139 Szczyrbok 62, 34-340 Korbielów
50.248399 19.079101 Szopienicka 65, 40-431 Katowice
50.296563 18.798113 Mochnackiego 12, 41-800 Zabrze
50.299631 18.8819865 Szyb Barbary 3, 41-709 Ruda Śląska
50.78886 19.133516 Aleja Niepodległości 26, 42-216 Częstochowa
50.8128446 19.09135233 ul. Wyszyńskiego 1 / Kordeckiego 2 1, 42-225 Częstochowa
50.327464 19.221423 11 Listopada 24, 41-300 Dąbrowa-Górnicza
50.671533 18.707083 Klonowa 1, 42-700 Lubliniec
50.058252 18.684615 Północna 60, 44-240 Żory
50.260181 19.025899 Teatralna 17B, 40-003 Katowice
50.318352 18.663537 Toszecka 101, 44-100 Gliwice
50.050445 18.713296 Katowicka 24, 44-240 Żory
50.81140731 19.13331694 Mirowska 26, 42-202 Częstochowa
50.274845 19.142499 1 Maja 40 DZ. 3259, 41-200 Sosnowiec
50.289101 18.677743 Akademicka 9, 44-100 Gliwice
50.27608645 19.13567343 Anieli Urbanowicz 8, 41-200 Sosnowiec
50.198269 19.045537 Arki Bożka 2, 41-910 Katowice
50.280721 18.671696 Adama Asnyka 31/15, 44-100 Gliwice
50.29011128 19.07995877 Baczyńskiego 14B, 41-203 Sosnowiec
50.2940097 19.18002862 Bohaterów Monte Cassino 36, 41-219 Sosnowiec
50.303542 19.187122 Braci Mieroszewskich 55g, 41-219 Sosnowiec
50.30904022 18.67213124 Cechowa 12, 44-102 Gliwice
50.298102 18.671383 Chudoby 1, 44-100 Gliwice
50.30904536 18.67213326 Cyraneczki 1, 44-100 Gliwice
50.27528562 19.12244686 Dęblińska 7, 41-200 Sosnowiec
50.294817 18.67172 Dworcowa 44, 44-100 Gliwice
50.276545 19.195753 Gacka 1B, 41-218 Sosnowiec
50.301262 18.649109 Gagarina 14, 44-121 Gliwice
50.292196 18.666358 Górnych Wałów 4, 44-100 Gliwice
50.300355 18.652729 Góry Chełmskiej 20, 44-100 Gliwice
50.247455 19.036319 Graniczna 57, 40-018 Katowice
50.323441 18.652702 Gwiazdy Polarnej 36, 44-117 Gliwice
50.297394 18.660094 ul. Jasnogórska 8, 44-100 Gliwice
50.26013111 19.26877888 Kadłubka 20, 41-217 Sosnowiec
50.285584 19.017528 Karłowicza 53, 40-145 Katowice
50.27926368 19.12366897 Kilińskiego 22, 41-200 Sosnowiec
50.28132534 19.12754622 Kilińskiego 70, 41-200 Sosnowiec
50.28992239 19.17506026 Kisielewskiego 1, 41-219 Sosnowiec
50.28674525 19.15662062 Kombajnistów 291, 41-200 Sosnowiec
50.24970286 19.16471724 Kopalniana 2A, 41-200 Sosnowiec
50.322483 18.658926 ul. Kopernika -, 44-117 Gliwice
50.297069 18.656983 Kozielska 8, 44-100 Gliwice
50.293115 18.663299 Krupnicza 16, 44-100 Gliwice
50.29148332 19.07980391 Krzysztofa Kamila Baczyńskiego 14, 41-203 Sosnowiec
50.274951 18.981356 Krzywoustego 9, 40-870 Katowice
50.263111 19.092842 Ks. Bskp Herberta Bednorza 14, 40-384 Katowice
50.279985 19.13897 Legionów 23 DZ. 1520, 41-200 Sosnowiec
50.313487 18.68732 Lubliniecka 45, 44-100 Gliwice
50.291207 18.672217 ul. Łużycka 2C, 44-100 Gliwice
50.277925 19.112069 Matki Teresy Kierocińskiej 24, 41-200 Sosnowiec
50.227081 18.958974 Medyków 5, 40-751 Katowice
50.281426 19.116185 Stanisława Moniuszki 7, 41-200 Sosnowiec
50.289015 18.663438 Nowy Świat 14, 44-100 Gliwice
50.327438 18.647183 Oriona 120, 44-117 Gliwice
50.23665344 19.16019547 Śliwki 4a, 42-208 Sosnowiec
50.320303 18.689421 Paderewskiego 56, 44-105 Gliwice
50.226187 18.973516 Panewnicka 9, 40-709 Katowice
50.305629 18.692501 Stefana Okrzei 20, 44-100 Gliwice
50.303189 18.693075 Poniatowskiego 14, 44-100 Gliwice
50.30330692 19.18617236 Jana Długosza 1, 41-219 Sosnowiec
50.223886 19.069575 Przyjazna 5, 40-466 Katowice
50.293803 18.64145 Radiowa 1, 44-100 Gliwice
50.202369 18.9869 Radockiego 178, 40-645 Katowice
50.2890024 19.18710144 Radomska 2, 41-219 Sosnowiec
50.27492527 19.11330499 Regulacyjna 8, 41-209 Sosnowiec
50.359224 18.64287 Rekreacyjna / przy ul. Toszeckiej -, 44-100 Gliwice
50.241425 19.148387 Rynek 22, 41-208 Sosnowiec
50.259467 19.011581 Sądowa 4, 40-621 Katowice
50.289154 18.640927 Słowackiego 62, 44-100 Gliwice
50.27993668 19.13216424 Śmigielskiego -, 41-200 Sosnowiec
50.318624 18.666722 Sokoła 4, 44-117 Gliwice
50.294568 18.648786 Styczyńskiego 2, 44-100 Gliwice
50.294761 18.661522 Świętokrzyska 3, 44-100 Gliwice
50.270324 19.126664 Teatralna 9, 41-208 Sosnowiec
50.29212276 19.24583988 Wagowa 62A, 41-215 Sosnowiec
50.307624 18.678032 Warszawska 35, 44-100 Gliwice
50.276223 19.126629 Warszawska 9, 41-200 Sosnowiec
50.276178 19.12422 Józefa Piłsudskiego 7a, 41-200 Sosnowiec
50.305269 18.674482 Warszawska 1, 44-102 Gliwice
50.27982355 19.14212552 Wawel 15, 41-200 Sosnowiec
50.2763929 19.14177605 Wincentego Witosa 5c, 41-203 Sosnowiec
50.256332 19.02156 Wojewódzka 10, 40-026 Katowice
50.297464 18.668654 Wybrzeże Wojska Polskiego 5, 44-100 Gliwice
50.322991 18.601753 Wyczółkowskiego 30, 44-109 Gliwice
50.296565 18.668347 Wyszyńskiego 1, 44-100 Gliwice
50.28599218 19.13368909 Zakątek 5, 41-205 Sosnowiec
50.28527409 19.14613306 Zamkowa 2, 41-200 Sosnowiec
50.338518 18.640992 Przyszowska 36, 44-113 Gliwice
50.28822955 19.13009073 Żytnia 10, 41-205 Sosnowiec
49.979226 18.945052 Dworcowa - dz. 1210/48, 43-200 Pszczyna
50.2619742 19.03115756 Uniwersytecka 18, 40-007 Katowice
50.258757 19.020893 Młyńska 2 _, 40-098 Katowice
50.318051 19.208252 Porozumienia Dąbrowskiego 1980 1b, 41-300 Dąbrowa Górnicza
50.094253 18.565977 Żorska 11 _, 44-203 Rybnik
49.857965 19.026689 Warszawska 330 _, 43-346 Bielsko-Biała
50.2522228 19.0490003 Aleja Murckowska 5a, 40-266 Katowice
50.263921 19.059566 VW NOMA2, al. Roździeńskiego 188 E _, 40-203 Katowice
50.852171 19.149035 Makuszyńskiego 74/76, 42-209 Częstochowa
50.27058 19.015238 Widok 19, 40-118 Katowice
50.270647 19.015176 Widok 19, 40-118 Katowice
50.779167 19.141889 Wierzbowa -, 42-202 Częstochowa
50.84125 19.135444 Wincentego Witosa -, 42-224 Częstochowa
50.112798 19.004615 Wyszyńskiego 1, 43-100 Tychy
50.034644 18.67326 Malinowa 1, 44-240 Żory
50.305276 18.784274 ul. Johanna Goethego 1 _, 41-800 Zabrze
50.36181 18.799245 ul. Ofiar Katynia 33 _, 41-808 Zabrze
50.6346336 18.8406519 Zamkowa 2, 42-286 Koszęcin
50.0037105 18.6458823 Zamkowa 8, 44-268 Jastrzębie-Zdrój
50.223203 18.990352 Generała Zygmunta Waltera-Jankego 13, 40-615 Katowice
50.800778 19.107917 Zygmunta Krasińskiego -, 42-217 Częstochowa
50.882295 20.639976 Warszawska 90, 25-314 Kielce
50.900382 20.590623 Zakładowa 18, 25-670 Kielce
50.900382 20.590623 Zakładowa 18, 25-670 Kielce
51.0174509 21.5485953 bałtów 171, 27-423 Bałtów
50.274273 20.482298 Kolejowa 27, 28-500 Kazimierza Wielka
51.1867027 20.4222869 Partyzantów 11, 26-200 Końskie
50.4710271 20.6905683 Bohaterów Warszawy 115A, 28-100 Busko-Zdrój
51.037152 21.088557 księdza Kardynała Stefana Wyszyńskiego 14, 27-200 Starachowice
51.06526966 21.07502212 Batalionów Chłopskich 11, 27-200 Starachowice
50.881134 20.646247 Świętokrzyska 20, 25-406 Kielce
50.93394954 21.38784946 Aleja 3 Maja 17, 27-400 Ostrowiec Świętokrzyski
50.68264 21.757855 Błonie 2, 27-600 Sandomierz
50.6476981 20.2834117 Władysława Stanisława Reymonta 11, 28-300 Jędrzejów
50.471033 20.690527 Bohaterów Warszawy 115, 28-100 Busko-Zdrój
50.470453 20.66855 Wełecz 142, 28-100 Wełecz
51.0675 20.841449 Harcerska 12, 26-130 Suchedniów
50.901228 20.879774 Kielecka 15A, 26-010 Św. Katarzyna
50.881851 20.606965 Oskara Kolberga 19, 25-620 Kielce
50.894813 20.621208 Karola Olszewskiego 6, 25-001 Kielce
50.8060769 20.62015131 Księdza Piotra Ściegiennego 260, 25-116 Kielce
50.8983336 20.5936736 Transportowców 15, 25-678 Kielce
50.653594 20.288094 Wilanowska 2, 28-300 Jędrzejów
50.86872101 20.62002754 Żytnia 1A, 25-018 Kielce
50.62313843 20.28400803 S7 S7, 28-300 Łączyn
50.8727534 20.628986 plac Konstytucji 3 Maja -, 25-001 Kielce
50.8753364 20.5965265 Podklasztorna 10, 25-738 Kielce
50.90909005 20.68112377 Warszawska 422, 25-414 Kielce
50.687292 21.725305 Polskiej Organizacji Wojskowej 8, 27-600 Sandomierz
50.9076869 20.5911237 Przęsłowa 4, 25-671 Kielce
51.0658862 21.0714819 Radomska 76a, 27-200 Starachowice
50.903424 20.583458 Wystawowa 2, 25-672 Kielce
50.855199 20.570451 Krakowska 283, 25-801 Kielce
50.86231387 20.59848298 Jagiellońska 92, 25-734 Kielce
50.68093 21.758552 Przemysłowa 2, 27-600 Sandomierz
50.491068 20.717993 Mikułowice 283, 28-100 Mikułowice
50.26404 20.493088 Okrężna PM, 28-500 Kazimierza Wielka
50.4532 20.71917 Rzewuskiego 8, 28-100 Busko-Zdrój
50.499387 20.75953469 Zbrodzice 82, 28-100 Zbrodzice
53.6933078 20.4097867 Dorotowo 79B, 11-034 Dorotowo
53.748856 20.461281 Aleja Warszawska 117d, 10-701 Olsztyn
53.8381136 20.6919574 Wojska Polskiego 31, 11-010 Barczewo
54.07635079 19.62297217 Sand Valley 23, 14-400 Zielony Grąd
54.07644081 19.62301301 Sand Valley 23, 14-400 Zielony Grąd
53.79594501 21.56654038 aleja Spacerowa 7, 11-730 Mikołajki
53.647351 21.564538 Aleja Wczasów 4, 12-220 Ruciane-Nida
54.043806 21.744083 aleja Wojska Polskiego 56, 11-500 Giżycko
54.109429 19.49968 Komorowo Żuławskie 1A, 82-310 Elbląg
53.784151 20.481197 Aleja Wojska Polskiego 6A, 10-225 Olsztyn
53.731602 20.493786 Dornatta 3, 10-699 Olsztyn
54.0318371 21.7727187 Dąbrowskiego 14, 11-500 Giżycko
54.15179062 19.41721916 Plac Dworcowy 3, 82-300 Elbląg
54.18864441 19.4021759 Szarych Szeregów 8, 82-300 Elbląg
54.15790939 19.4072628 Bałuckiego 13, 82-300 Elbląg
54.15895844 19.41282845 Grobla św. Jerzego 18, 82-300 Elbląg
54.17965698 19.40012932 Robotnicza 175, 82-300 Elbląg
54.18282318 19.38579559 Elektryczna 20, 82-300 Elbląg
54.17710114 19.39843559 Brzeska 31, 82-300 Elbląg
54.18513107 19.39800072 Podgórna 10, 82-300 Elbląg
54.15836716 19.39801216 Przymurze 9b, 82-300 Elbląg
54.15766144 19.39798927 Wigilijna 12, 82-300 Elbląg
54.17832947 19.40637207 aleja Piłsudskiego 2, 82-300 Elbląg
54.15775681 19.40479279 Hetmańska 5A, 82-300 Elbląg
54.18349838 19.40844345 Wiślicka 46, 82-300 Elbląg
54.18674088 19.42210197 Ogólna 73, 82-300 Elbląg
54.16016769 19.40025139 Krótka 5, 82-300 Elbląg
54.14866257 19.42960358 Grunwaldzka 135, 82-300 Elbląg
54.15523911 19.4110508 Widok 5, 82-300 Elbląg
54.16541672 19.42382813 Agrykola 8, 82-300 Elbląg
54.18849182 19.40590096 Jan Pawła II 5, 82-300 Elbląg
54.1699791 19.40401268 Brzozowa 12, 82-300 Elbląg
54.1781044 19.42248344 aleja Piłsudskiego 19, 82-300 Elbląg
54.15985489 19.40708351 Plac Konstytucji 1, 82-300 Elbląg
54.16135788 19.40744019 Łączności 2, 82-300 Elbląg
54.16962814 19.44123268 Chrobrego 34, 82-300 Elbląg
54.15249252 19.39125633 Warszawska 83, 82-300 Elbląg
53.26224136 19.82504654 Działdowska 10, 13-230 Lidzbark
53.7909584 20.50313759 Cicha 7, 10-313 Olsztyn
53.79217529 20.49712372 Wrocławska 2, 10-248 Olsztyn
53.77706528 20.50492859 Pana Tadeusza 6, 10-459 Olsztyn
53.7822113 20.48775482 Dąbrowszczaków 21, 10-540 Olsztyn
53.77648926 20.48980141 Głowackiego 17, 10-447 Olsztyn
53.78449631 20.48995018 Kolejowa 13, 10-284 Olsztyn
53.73751068 20.50355148 Kanta 11, 10-691 Olsztyn
53.7793541 20.50957489 Kołobrzeska 38, 10-434 Olsztyn
53.82280731 20.48088837 Wadąska 9, 10-382 Olsztyn
53.77993011 20.46624374 Artyleryjska 3E, 10-165 Olsztyn
53.77984238 20.45602226 Jeziorna 5, 10-852 Olsztyn
53.77724075 20.45116806 Kapitańska 23, 10-153 Olsztyn
53.77215576 20.44236183 Miła 10, 10-852 Olsztyn
53.77810287 20.42403793 Sielska 38B, 10-802 Olsztyn
53.76535034 20.42921066 Żytnia 71, 10-822 Olsztyn
53.75058746 20.45932388 Dybowskiego 11, 10-719 Olsztyn
53.74979019 20.45281982 Dybowskiego 9, 10-723 Olsztyn
53.74103165 20.47830963 Hallera 7, 10-693 Olsztyn
53.73622131 20.49578094 Mroza 31, 10-692 Olsztyn
53.74026871 20.50114822 Kanta 10/12, 10-691 Olsztyn
53.78076553 20.49123383 Pułaskiego 7, 10-514 Olsztyn
53.77383423 20.47603989 Szrajbera 9, 10-007 Olsztyn
53.76416016 20.50380516 Wyszyńskiego 11, 10-457 Olsztyn
53.75489807 20.50084877 Murzynowskiego 22, 10-684 Olsztyn
53.77267075 20.48088646 Knosały 3-5, 10-015 Olsztyn
53.77313232 20.47331047 Warszawska 13, 10-081 Olsztyn
53.76506042 20.46901131 Gałczyńskiego 1, 10-089 Olsztyn
53.77896118 20.48357964 Dąbrowszczaków 42, 10-543 Olsztyn
53.74383545 20.48591042 Pileckiego 8, 10-693 Olsztyn
53.76176071 20.49927521 Pstrowskiego 28A, 10-602 Olsztyn
53.79452133 20.48946953 Rataja 58, 11-041 Olsztyn
53.76795959 20.47532845 Borkowskiego 3, 10-087 Olsztyn
53.75436783 20.49560356 Orłowicza 23, 10-684 Olsztyn
53.74922943 20.50074768 Barcza 48, 10-685 Olsztyn
53.74474716 20.50507355 Boenigka 12, 10-686 Olsztyn
53.73713303 20.48820305 Pomorska 9, 10-699 Olsztyn
53.74341202 20.51122093 Jeziołowicza 3, 10-690 Olsztyn
53.74070358 20.51424789 Gębika 2, 10-691 Olsztyn
53.72652817 20.4774456 Złota 6, 10-698 Olsztyn
53.78511429 20.48237038 Wojska Polskiego 74, 10-290 Olsztyn
53.77282715 20.49709702 Piłsudskiego 46, 10-450 Olsztyn
53.7794342 20.47936058 Jana Pawła II 1, 10-101 Olsztyn
54.38137436 19.82382011 Katedralna 3, 14-500 Braniewo
54.150474 19.370958 Żuławska 19, 82-300 Elbląg
53.69863174 19.9585105 Jana Pawła II 9, 14-100 Ostróda
54.1640602 20.8212799 Galiny 110, 11-214 Bartoszyce
53.874438 21.322258 Giżycka 6, 11-700 Mrągowo
53.7325461 20.3736245 Golfowa 20A, 11-036 Naterki
53.8145489 22.3738074 Ciepła 13, 19-300 Ełk
54.12480844 20.58326068 Pl. Zamkowy 1, 11-100 Lidzbark Warmiński
53.689401 19.983462 Grunwaldzka 74D, 14-104 Ostróda
53.612361 21.750417 Jabłoń 1, 12-200 Jabłoń
53.7545311 20.4840122 Juliana Tuwima 26, 10-748 Olsztyn
53.7538053 20.4839283 Juliana Tuwima 26, 10-748 Olsztyn
54.166101 19.401743 Teatralna 5, 82-300 Elbląg
53.710266 19.977435 Plebiscytowa 3, 14-100 Ostróda
53.61232823 19.61238256 Księżycowa 22, 14-200 Nowa Wieś
53.8328777 22.3516017 Generała Władysława Sikorskiego 13, 19-300 Ełk
54.0357283 21.776377 Bohaterów Westerplatte 1, 11-500 Giżycko
54.302902 22.2979202 Wojska Polskiego 14, 19-500 Gołdap
53.6012099 19.5611241 Dąbrowskiego 9A, 14-200 Iława
53.5105191 19.7379302 Toruńska 2, 14-260 Lubawa
54.054361 22.141278 Łękuk Mały 8, 11-510 Łękuk Mały
53.7853828 20.5100726 Lubelska 26, 10-407 Olsztyn
54.02119 22.488076 osiedle Siejnik II 1, 19-400 Olecko
53.77123 20.5125 Leonharda 9, 10-454 Olsztyn
53.515024 20.298223 MOP Lutek S7, 11-015 Warlity Małe
53.45612134 19.72673938 Mortęgi 3, 14-260 Mortęgi
53.349889 20.426306 Sienkiewicza 8, 13-100 Nidzica
54.174927 19.441214 Marymoncka 5, 82-300 Elbląg
53.77953 20.51321 Leonharda 3, 11-041 Olszyn
54.166103 19.362416 Kazimierzowo 7A, 82-300 Elbląg
53.74877 20.461323 Aleja Warszawska 117 D _, 10-720 Olsztyn
53.88982391 19.73581886 MOP S7, 14-330 MOP Sople Wschód
53.88234711 19.7327652 MOP S7, 14-330 MOP Sople Zachód
53.86018372 21.28278732 Olsztyńska 15, 11-700 Mrągowo
53.7460289 20.45841789 Aleja Warszawska 100, 10-702 Olsztyn
53.75841522 20.48730659 Aleja Gen. Władysława Sikorskiego 21, 10-088 Olsztyn
53.58237457 20.18023872 MOP Olsztynek S7, 11-015 Olsztynek
53.29979706 20.43716049 Pawliki 12, 13-100 Pawliki
53.63922 21.8252 Przy Plaży Miejskiej dz nr 11, 12-200 Pisz
53.62314 21.79546 Gdańska 11, 12-200 Pisz
53.63076 21.80557 Gizewiusza 5, 12-200 Pisz
53.7796285 20.4822148 plac Konsulatu Polskiego 1, 11-041 Olsztyn
53.626575 21.800071 Sienkiewicza 2, 12-200 Pisz
53.710361 20.377472 Siła 100, 11-036 Siła
54.0802 21.49 Gierłoż 5 11-400 Gierłoż 5, 11-400 Gierłoż
53.688639 20.099167 Spacerowa 2a, 14-133 Stare Jabłonki
53.4055286 19.558472 Spedycyjna 1, 13-306 Kurzętnik
54.15393999 19.39873793 Czerniakowska 8 A, 82-300 Elbląg
53.78470574 20.53570026 Lubelska 40A, 10-410 Olsztyn
53.782288 20.533224 Towarowa 20D, 11-041 Olsztyn
53.781816 20.513626 Towarowa 11, 10-416 Olsztyn
53.7080188 19.9426916 Turystyczna 15, 14-100 Ostróda
53.77341804 20.49568287 Piłsudskiego 44, 11-041 Olsztyn
53.7725925 20.49578262 Piłsudskiego 44, 11-041 Olsztyn
53.627607 21.812789 Warszawska 1, 12-200 Pisz
53.79825 21.578167 Wawrzyńca Prusa 3, 11-730 Mikołajki
53.660333 21.576 Wrzosowa 3, 12-220 Ruciane-Nida
53.8302435 20.7365547 Zalesie 12, 11-010 Barczewo
51.968445 17.506356 Wojska Polskiego 32, 63-200 Jarocin
52.407629 17.084192 Polna 23, 62-020 Swarzędz
51.6092618 16.8617721 17 Stycznia 33, 63-900 Rawicz
52.3762448 16.980648 Adama Kręglewskiego 2, 61-248 Poznań
53.168758 16.7705109 aleja Powstańców Wielkopolskich 203, 64-920 Piła
53.1687441 16.7704154 aleja Powstańców Wielkopolskich 203, 64-920 Piła
51.995709 18.560598 Laski 10 _, 62-731 Przykona
53.151395 16.769576 Bydgoska 137a, 64-920 Piła
53.136651 16.752125 Poznańska 93, 64-920 Piła
51.764963 18.080031 Aleja Wojska Polskiego 123, 62-800 Kalisz
52.417529 16.931936 Armii Poznań 45231, 61-721 Poznań
52.44056 16.764165 Świętego Antoniego 2, 62-080 Swadzim
51.74721977 18.06210198 Podmiejska 22, 62-800 Kalisz
52.435154 16.826937 ul. Sianowska 67, 60-431 Poznań
52.413272 16.764938 Bukowska 46, 62-081 Wysogotowo
52.39424 16.917186 Bergera 51/1, 61-538 Poznań
52.53628162 16.94407353 Jesionowa 1, 62-003 Biedrusko
52.8599358 16.0748183 Szosa Dworcowa 9c, 64-731 Drawski Młyn
52.5344156 17.555851 Myśliwiecka 74, 62-200 Gniezno
52.54101897 17.61086401 Paczkowskiego 18, 62-200 Gniezno
51.7448695 18.0488772 Marii Skłodowskiej -Curie 12-14, 62-800 Kalisz
52.081604 16.6259816 Antoniego Kaźmierczaka 29, 64-000 Kościan
52.3981907 17.209906 Poznańska 116, 62-025 Kostrzyn
51.8490971 16.6033845 Kąkolewska 14, 64-100 Leszno
52.70476811 16.52842471 Dworcowa 4A, 64-520 Obrzycko
51.57881 17.66902 Krotoszyńska 29, 63-430 Odolanów
51.6401319 17.83807647 Majorka 1, 63-400 Ostrów Wielkopolski
51.65649725 17.78301744 Głowackiego 63, 63-410 Ostrów Wielkopolski
51.64589 17.85642 Grabowska 115, 63-410 Ostrów Wielkopolski
53.1809257 16.7531223 Miła 1, 64-920 Piła
52.4417361 16.8673361 Adama Poszwińskiego 2, 60-470 Poznań
52.3674461 16.841361 Sycowska 18, 60-003 Poznań
52.4118 16.83195 Jana Brzechwy 99, 60-195 Poznań
52.3584986 16.8851201 Jesionowa 16, 61-408 Poznań
52.4437549 16.9163342 Lechicka 59, 61-695 Poznań
51.610431 16.851665 Piłsudskiego 8, 63-900 Rawicz
51.6130736 16.8669718 Sarnowska 4, 63-900 Rawicz
52.3948076 16.7989721 Poznańska 90, 62-070 Skórzewo
52.389593 16.771792 Poznańska 1, 60-185 Skórzewo
52.27761333 16.69078309 Kościańska 54A, 62-060 Stęszew
52.7108919 16.3918422 Adama Mickiewicza 24, 64-510 Wronki
52.3294972 17.5585016 Daszyńskiego 8, 62-300 Wrześńia
52.2874368 16.9841988 Poznańska -, 62-023 Kamionki
52.456638 16.951164 Boranta 67/2 i 14/11, 61-608 Poznań
52.41263 16.935457 Bóżnicza 1/1, 61-751 Poznań
52.378515 16.577579 Brzozowa 24, 64-320 Niepruszewo
52.338999 16.108047 Przyłęk 125A, 64-300 Nowy Tomyśl
52.413288 16.825576 Bukowska 364, 60-189 Poznań
52.4075472 16.8665261 ul. Pastelowa 2, 61-001 Poznań
52.40550078 16.86584355 Kolorowa 2-10, 60-198 Poznań
53.158879 16.755715 Aleja Powstańców Wielkopolskich 99, 64-920 Piła
51.65093671 17.80735935 Andrzeja Kowalczyka 3, 63-400 Ostrów Wielkopolski
51.826774 16.604616 Al. Konstytucji 3 Maja 13 _, 64-100 Leszno
51.6845432 17.4706966 Ostrowska 122, 63-700 Krotoszyn
52.42188263 16.90207672 Litewska 22, 60-605 Poznań
52.3280811 17.0373836 Fabryczna 5, 62-023 Żerniki
52.352218 16.887452 Dębiecka 1, 62-030 Luboń
52.412579 16.923452 Feliksa Nowowiejskiego 7/6, 61-733 Poznań
52.3685805 16.9886152 Torowa 14, 61-315 Poznań
52.353632 16.840237 Głogowska 440, 60-004 Poznań
52.380525 16.896821 Górecka 30, 60-201 Poznań
52.323722 17.561158 Kolejowa 15, 62-300 Września
52.398993 16.906154 Gąsiorowskich 38/9, 60-704 Poznań
52.413148 16.83591 Bukowska 287a _, 60-189 Poznań
53.168447 16.770541 Aleja Powstańców Wlkp. 203 _, 64-920 Piła
52.358674 16.848589 Wajsówny 9 _, 60-002 Poznań
52.435054 16.779368 Poznańska 33 _, 62-081 Przeźmierowo
52.412273 16.954119 Gdańska 5, 61-001 Poznań
52.40571 17.0747 Dworcowa 7, 62-020 Swarzędz
52.3856215 16.8902993 ul. Głogowska 151, 62-206 Poznań
52.41842309 16.90235052 Swiętego Wawrzyńca 15, 60-539 Poznań
52.07649103 18.82498154 Droga Wojewódzka 473 16, 62-660 Dąbie
52.430404 16.933804 Gronowa 7/6, 61-655 Poznań
52.3914388 16.8580919 Grunwaldzka 182, 60-166 Poznań
52.3865927 16.9120476 Hetmańska 91, 61-514 Poznań
51.765687 18.082883 F. Chopina 9, 62-800 Kalisz
52.3748 17.4637 Barczyzna 12 -, 62-330 Barczyzna
52.3748 17.4637 Barczyzna 12 -, 62-330 Barczyzna
52.354803 17.014203 Spławie 43A, 61-312 Poznań
52.2018975 17.4883946 Plac Wiosny Ludów 16, 62-320 Miłosław
52.4792392 16.8696412 Konwaliowa 3, 62-002 Suchy Las
52.50165 16.243214 Lwówecka 22, 62-045 Pniewy
52.382085 16.987565 Szwedzka 10, 61-285 Poznań
51.8422543 17.9453445 Jana Pawła II 1, 63-322 Gołuchów
51.644 17.8304 Waryńskiego 30, 63-400 Ostrów Wielkopolski
51.4353158 17.91776942 Leśna 51, 63-500 Ostrzeszów
51.7355116 18.0299349 Inwestorska 9, 62-800 Kalisz
52.352244 16.99807 Bolesława Krzywoustego 135, 61-324 Poznań, Poland 135, 61-324 Poznań
51.847658 16.584904 Jana Ostroroga 8a, 64-100 Leszno
52.419345 16.866014 Janusza Meissnera 1B, 60-408 Poznań
52.385945 16.86025 Jawornicka nr 1 10959, 60-159 Poznań
52.381037 16.862165 Kacza nr 1 131/2, 60-106 Poznań
52.40930485 17.08362856 Polna 24, 62-020 Swarzędz
52.561837 17.609515 Gdańska 119, 62-200 Gniezno
52.403197 16.900207 Konopnickiej 47, 60-771 Poznań
52.409216 16.935425 Kramarska 17, 61-765 Poznań
52.4125804 16.9768709 Krańcowa 42, 61-037 Poznań
51.96869358 16.82294266 Kościanska 75, 64-010 Krzywiń
52.486417 16.851889 Złotnicka 1, 62-002 Suchy Las
